output
file,key,en,zh-TW
common,only_data_beyond_90_days_spot_history,"To access data beyond 90 days, please use the Export Data"" function""",
common,View,View,
common,service_unavailable_for_region_REGION,This service is unavailable in REGION.,
common,service_unavailable,Service is not available,
common,service_error,Please try again later,
common,service_maintenance,This service is undergoing maintenance.,
common,connect_wallet,Connect Wallet,
common,switch_address,Switch Address,
common,disconnect_wallet,Disconnect,
common,wallet_wc,Connected with WalletConnect,
common,wallet_ledger,Connected with Ledger,
common,register_dexAccount,Register,
common,trade,Trade,
common,deposit,Add,
common,deposit_ETH,Add ETH,
common,initialize,Initialize,
common,initialization,Initialization,
common,sign_to_view_success,Success,
common,invalid_signature,Invalid Signature,
common,possible_cause,Possible cause:,
common,locale_time_error,Your local device time is inaccurate.,
common,enable_quick_trading,Enable Quick Trading,
common,quick_trading,Quick Trading,
common,authorization_mode,Authorization Mode,
common,authorization_mode_standard,Standard,
common,authorization_mode_single_use,One-time,
common,turn_on,Turn on,
common,turn_on_standrad_mode,Turn on Standard Authorization Mode,
common,enable_quick_trading_tips,"In this mode, you can place orders without signing. To switch mode, navigate to Settings"" located below the Trade Button.""",
common,enable_quick_trading_tips_grid,"In this mode, you can create grid strategies without signing. To switch mode, navigate to Settings"" located below the Trade Button.""",
common,enable_quick_trading_tips_dca,"In this mode, you can create DCA plans without signing. To switch mode, navigate to Settings"" located below the Trade Button.""",
common,authorization_mode_tips,"<>
        <b>Standard</b>
        <br />
        Authorize once and place orders without signing.
        <br />
        <br />
        <b>One-time</b>
        <br />
        Sign with your wallet to place orders for every transaction.
      </>
",
common,yes,Yes,
common,no,No,
common,enable_quick_trading_success,Standard Authorization Mode On,
common,view_balance,View Balance,
common,delete_asset_key,Delete Asset Key,
common,delete_asset_key_desc,The Standard Authorization Mode will be turned off once the Asset Key is deleted from your browser.,
common,no_asset_key_tips,No Asset Key found in your browser,
common,turn_off_standard_mode,Turn off Standard Authorization Mode,
common,reset_asset_key,Reset Asset Key,
common,view_asset_key,View Asset Key,
common,unlock_btn,Unlock,
common,lock,Lock Account,
common,lock_success,Asset Key Deleted,
common,reset,Reset Asset Key,
common,delete,Delete,
common,withdraw,Send,
common,withdraw_ETH,Send ETH,
common,transfer,Internal Transfer,
common,transfer_ETH,Internal transfer ETH,
common,history,History,
common,view_history,View in History,
common,internal_transfer,Transfer,
common,assets_record_link,History,
common,other,Misc,
common,login_success,Connect Success,
common,Account,Account,
common,Address,Address,
common,Disconnect,Disconnect,
common,copy_address,Copy Address,
common,copy_grid,Copy Strategy,
common,Copy,Copy,
common,btn_search,Search,
common,btn_reset,Reset,
common,btn_confirm,Close,
common,btn_all,History,
common,btn_max,Max,
common,btn_ok,Ok,
common,spot_trade,SPOT,
common,grid_trade,GRID,
common,err_balance_title,Failed to Place Order,
common,err_balance_content,Insufficient available balance. Please verify and try again.,
common,order_failed,Order Failed,
common,insufficient_order_value,Insufficient Order Value,
common,grid_failed,Creation Failed,
common,err_eth_gas,Ethereum network severely congested,
common,err_insufficient_balance_TOKEN1,Insufficient TOKEN1 balance,
common,err_insufficient_balance_TOKEN1_TOKEN2,Insufficient TOKEN1 and TOKEN2 balances,
common,please_add_funds_before_ordering,Please add funds to your DeGate Balance before ordering.,
common,err_balance_content_spot,Failed to place order due to insufficient balance.,
common,err_balance_content_grid,Failed to create grid strategy due to insufficient balance.,
common,trade_min_volume_tips_XXX,Min XXX,
common,grid_min_volume_tips,The Quantity per Order does not meet the minimum amount. Please try again.,
common,trade_risk_orders_tips,Unable to place order as you have too many open orders,
common,gas_token_tips,Select gas fee token,
common,add_favorite_tooltip,Add to favorites,
common,remove_favorite_tooltip,Remove from favorites,
common,expire_tips_X,This order will expire on X.,
common,today,Now,
common,now,Now,
common,time_D_day,Dd,
common,time_D_day_H_hour,Dd Hh,
common,time_H_hour_M_minute,Hh Mm,
common,time_M_minute_S_second,Mm Ss,
common,time_S_second,Ss,
common,around,～ ,
common,time_now,now,
common,time_before, ,
common,time_before_ago, ago,
common,time_1_minute,1 minute,
common,time_1_hour,1 hour,
common,time_1_day,1 day,
common,time_1_year,1 year,
common,time_M_minutes,M minutes,
common,time_M_m,Mm,
common,time_H_hours,H hours,
common,time_H_h,Hh,
common,time_D_days,D days,
common,time_D_d,Dd,
common,time_Y_years,Y years,
common,time_Y_y,Yy,
common,fee_change_tips,Price Updated,
common,no_pairs,Trading Pair Not Found,
common,register_new_pair,Add New Pair,
common,register_pair,Add Trading Pair,
common,add_pair,Add Pair,
common,tips_hide_forever,Don’t show again,
common,token,Token,
common,code,Address,
common,action,Action,
common,more_actions,More,
common,gas_fee,Gas Fee,
common,trade_fee,Trading Fee,
common,about_degate,About DeGate,
common,metrics,Metrics,
common,fees,Fees,
common,document,Docs,
common,join_us,Join Us,
common,feedback,Feedback,
common,email_optional,Your Email address (Optional),
common,Upload,Upload,
common,feedback_upload_tip,Please share your feedback. Drag files to attach.,
common,feedback_upload_tip_mobile,Please share your feedback. ,
common,image_upload_tip,Release to Add,
common,feedback_success,We hear you loud and clear!,
common,feedback_success_2,Thank you,
common,feedback_failed,Submission failed. Please try again later.,
common,image_upload_rule_1,"Support PNG, JPG, JPEG only.",
common,image_upload_rule_2,Max size is 20MB per file.,
common,image_upload_rule_3,Up to 5 files.,
common,no_pair,Token Pair Not Found,
common,no_token,Token Not Found,
common,choose_base_token,Select Base Token,
common,choose_quote_token,Select Quote Token,
common,get_test_token,Get Testnet Token,
common,faucet,Faucet,
common,expire_in,Expire in,
common,expire_in_empty_err,Please enter a number,
common,go_back,Go Back,
common,max_XXX,Max XXX,
common,min_XXX,Min XXX,
common,fill_in,Fill in,
common,my_balance,My Balance,
common,deGate_insufficient_fees,Insufficient DeGate Balance,
common,wallet_balance,Wallet Balance,
common,your_wallet_balance,Your Wallet Balance,
common,degate_balance,DeGate Balance,
common,wallet_insufficient_fees,Insufficient balance in wallet,
common,wallet_insufficient_balance,Insufficient balance,
common,insuffficient_wallet_balance,Insufficient Wallet Balance,
common,degate_insufficient_balance,Insufficient available balance,
common,open_discord,Go to Discord Community,
common,err_valid_until,Please adjust local time to standard time on your device,
common,tips_gas,The gas fee used to execute this on-chain transaction will be deducted from your DeGate Balance.,
common,maker_free,Maker Free,
common,trading_fee_rate,Trading Fee Rate,
common,Free,Free,
common,stop_service_1,Site is under maintenance,
common,stop_service_2,Estimated Recovery Time,
common,stop_upgrade,The new version of the testnet is currently undergoing migration.,
common,stop_trading_1,System Upgrade,
common,stop_trading_2,Trading is suspended temporarily,
common,sell,sell,
common,buy,buy,
common,SELL,SELL,
common,BUY,BUY,
common,Sell,Sell,
common,Buy,Buy,
common,side_buy,Buy,
common,side_sell,Sell,
common,btn_buy,Buy,
common,btn_sell,Sell,
common,sell_order,Sell Order,
common,buy_order,Buy Order,
common,edit,Edit,
common,status_processing,Processing,
common,status_processed,Pending,
common,status_pending,Pending,
common,status_confirming,Confirming,
common,status_success,Success,
common,status_completed,Finalized,
common,status_failed,Failure,
common,status_speeding_up,Speeding Up,
common,status_canceling,Canceling,
common,status_canceled,Canceled,
common,in_progress,In Progress,
common,limit_order,Limit,
common,market_order,Market,
common,stop_limit_order,Stop Limit,
common,balance,Balance,
common,empty_connect,Please connect wallet first,
common,empty_register,Please initialize first,
common,empty_unlock,Please unlock account first,
common,empty_months3,No data for the last 3 months,
common,show_months3,Only showing data within the last 3 months,
common,view_all,View All,
common,D1,1D,
common,D5,5D,
common,M1,1M,
common,M3,3M,
common,M6,6M,
common,YTD,YTD,
common,Y1,1Y,
common,all,All,
common,view_more,More,
common,paste,Paste,
common,clear,Clear,
common,total,Total,
common,amount,Amount,
common,order_amount,Order Amount,
common,price,Price,
common,order_total,Total,
common,filledAmount,Amount,
common,tradeFilledTotal,Value,
common,orderFilledTotal,Total,
common,filledAmount_amount,Filled/Amount,
common,profit,Profit,
common,incompatible_token,Technical specifications of this token are not compatible with DeGate protocol.,
common,disable_deposit,Unable to Deposit,
common,disable_trade,Unable to Trade,
common,disable_transfer,Unable to Transfer,
common,next,Next,
common,token_not_verified,Not Verified,
common,token_not_verified_tips,"Contract address, Icon, and Symbol are unverified. Please check the contract address with official sources to avoid scams.",
common,token_verified,Verified,
common,token_verified_tips,"Contract address, Icon, and Symbol match.",
common,arrival_time,Arrive in,
common,deposit_tips_region,Please note that you are accessing DeGate in REGION. The trading and internal transfer features are unavailable after fund addition.,
common,complete_time,Complete in,
common,unable_to_initialize,Unable to initialize,
common,deposit_tips_beta,"[Notice] During Beta testing period, we advice users to add funds in small amounts. If any loss occurs due to product issues, DeGate provides a guarantee of up to $5,000 for each user.",
common,deposit_disabled_tips,The Total Value Locked (TVL) limit for the Beta testing phase has been reached. Fund addition is temporarily paused.,
common,apply_whitelist,Apply for whitelist,
common,filter_base,Base,
common,filter_quote,Quote,
common,filter_type,Type,
common,filter_side,Side,
common,filter_role,Role,
common,option_all,All,
common,option_maker,Maker,
common,option_taker,Taker,
common,start_data,Start Date,
common,end_data,End Date,
common,added_to_favorites,Added to favorites,
common,removed_to_favorites,Removed from favorites,
common,show_recents_50,The latest 50 data have been displayed.,
common,terms_of_service,Terms of Service,
common,tips_small_unfilled,"Based on degrees of precision specified in the system design, a small unfilled portion of the order has been returned to your DeGate Balance.",
common,notification,Notification,
common,server_message_SystemRecovery,Please be informed that there are changes to your order statuses after system recovery.,
common,server_message_upgrate,"DeGate testnet will undergo migration on Mar 10th. Test assets currently held on testnet can only be withdrawn through exodus mode from this date.
 Users are advised to withdraw their assets ASAP.",
common,learn_more,Learn More,
common,connect_ledger,Connect Ledger,
common,ledger_disconnect,Failed to execute 'transferOut' on 'USBDevice': The device was disconnected.,
common,gas_fee_expired,Gas fee has expired. Please submit again.,
common,scroll_down_to_refresh,Scroll down to refresh,
common,release_to_refresh_immediately,Release to refresh,
common,no_more,No more data,
common,loading,Loading...,
common,force_withdrawing_token_tips,The current operation cannot be performed as your force withdrawal request is being processed.,
common,speed_up,Speed Up,
common,cancel,Cancel,
common,transaction_submitted,Transaction Submitted,
common,tx_speed_up,Speed Up Transaction,
common,tx_cancel,Cancel Transaction,
common,none,None,
common,Language,Language,
common,page,/Page,
common,go_to,Go to,
common,icon_indicators,Indicators,
common,icon_back,Back,
common,icon_forward,Forward,
common,icon_full_screen,Fullscreen,
common,icon_exit_full_screen,Exit fullscreen,
common,icon_buy_sell_orders,Buy and Sell Orders,
common,icon_buy_orders,Buy Orders,
common,icon_sell_orders,Sell Orders,
common,icon_enable,Click to enable,
common,icon_disable,Click to disable,
common,icon_copy,Copy address,
common,icon_view_explorer,View on Block Explorer,
common,icon_display_by_profit,Display by profit,
common,icon_display_by_time,Display by time,
common,icon_switch,Switch,
common,eth_code_tips,Native token of Ethereum. No token contract address.,
common,TBD,TBD,
common,localTime_tips,"Adjust your device's local time in order for DeGate protocol to work properly. Select “automatic” under time settings, and refresh page.",
common,go_to_discord,Or Join Discord to Create Ticket,
common,release,Release: ,
common,security,Security,
common,colon,: ,
common,zero_balance,Zero Balance,
common,ledger_app_version_tips,"To preview the message to be signed, please update the Ethereum app on your ledger to v1.10.0 or later.",
common,ledger_contract_data_tips,Please enable Blind signing or Contract data in the Ethereum app Settings,
common,input_auto_corrected_tooltips,Auto corrected your input after exceeding the maximum number of digits,
common,input_auto_corrected_tips,Auto corrected your input after exceeding the maximum number of digits,
common,maximum_decimal_reached,Maximum decimal places reached,
common,service_unavailable_for_blacklist,"<div>
        Your access to DeGate is restricted. For more information, please visit{' '}
        <a
          href=""https://discord.com/channels/814731180892487702/1086188643342889020""
          target=""_black""
        >
          DeGate community
        </a>{' '}
        .
      </div>
",
common,initialization_desc,"<>
        You will receive two signature requests. <br />
        Signing is free.
      </>
",
common,verify_ownership,Verify Ownership,
common,enable_trading,Enable Trading,
common,learn_more_about_signatures_link,Learn more about signatures >,
common,learn_more_about_signatures,Learn more about signatures,
common,sign,Sign,
common,sign_step1,Complete in Your Wallet,
common,sign_step2,Complete 2nd Signature,
common,not_now,Not Now,
common,view_on_block_explorer,View on Blockchain Explorer,
common,view_in_history,View in History,
common,continue_to_place_order,Continue to Place Order,
common,Save,Save,
common,sign_to_view,Sign to view,
common,available_degate_balance,Available DeGate Balance,
common,Back,Back,
common,token_has_not_listed,This token has not been listed on DeGate.,
common,list_now,List Now,
common,spread_15,Spread > 15%,
common,connected,Connected,
common,self_list_token,Instant Listing,
common,claim_REBASE,Claim REBASE,
common,time,Time,
common,time_updated,Time Updated,
common,show_in_X_m,Show in ~Xm,
common,max_gas,Max Gas Fee,
common,total_required,Total required,
common,available_balance,Available Balance,
common,please_add_funds,Please add funds to your DeGate Balance.,
common,add_funds_trade,Trade,
common,minimum_amount_per_order_100,"Minimum amount per order is 100 USDC which is equivalent to 100 USD. Uncheck the Set Price Limit"" to bypass this restriction.""",
common,Side,Side,
common,active,Active,
common,ended,Ended,
common,name,Name,
common,yield,Yield,
common,time_created,Time Created,
common,time_ended,Time Ended,
common,side,Side,
common,order_type,Type,
common,frequency,Frequency,
common,chain_cancel,Cancel On-Chain,
common,status,Status,
common,status_ended,Ended,
common,status_active,Active,
common,status_expired,Expired,
common,status_closed,Ended,
common,status_chainCancelProgressing,On-chain Cancelling,
common,status_chainCancelCompleted,On-chain Canceled,
common,filled_total,Filled/Total,
common,start_time,Start Time,
common,end_time,End Time,
common,Summary,Summary,
common,Orders,Orders,
account,account_deposit,Deposit,
account,account_deposits_history,Recent Deposits,
account,account_withdraw,Send,
account,account_manage,Security,
account,account_manage_more,About Authorization Mode and Asset Key >,
account,what_is_asset_key,About Authorization Mode and Asset Key,
account,account_reffer,Referral Program,
account,account_reffer_invitation,立即邀请,
account,account_reffer_rules,规则说明,
account,account_reffer_invitation_code,我的邀请码,
account,account_reffer_invitation_ratio,分佣比例,
account,account_reffer_invitation_link,我的邀请链接,
account,account_reffer_invitation_reward,我的返佣奖励,
account,total_value,Total Value,
account,assets_search_placeholder,"Search token, contract address",
account,hide_small_balances,Hide Small Balances,
account,add_to_metamask,Add token to MetaMask,
account,assets_symbol,Token,
account,assets_balance_total,Total,
account,assets_balance_available,Available,
account,assets_balance_locked,Locked,
account,assets_market,Value,
account,assets_opr,Action,
account,transfer_to_degate_balance,Add to DeGate Balance,
account,search_tokens,Search token,
account,deposit_title,Assets will be deposited into your decentralized DeGate account. You have full custody of these assets.,
account,deposit_tips,You retain full custody of these funds.,
account,deposit_confirm_btn,Add,
account,deposit_approve_btn,Approve,
account,deposit_approved_btn,Approved,
account,deposit_search,"Search token, contract address",
account,deposit_1_ETH,Add 1 ETH to your DeGate Balance,
account,deposit_status_pending,Pending,
account,deposit_status_confirming,Confirming,
account,deposit_status_pay_pending,Payment Due,
account,deposit_status_pay_waiting,Payment Broadcasted,
account,deposit_status_pay_confirming,Confirming Payment,
account,deposit_tips_block,Transaction awaiting block inclusion,
account,deposit_status_pay_btn,Pay,
account,pay_deposit_warning,Adding funds may incur additional gas fee,
account,pay_deposit_warning_tips,Users might be required to bear the cost for adding funds as DeGate's subsidies have been completely used.,
account,deposit_contract,Deposit via Smart Contract,
account,deposit_pending_tips,Speed up transaction in your wallet if pending over 5 minutes.,
account,deposit_pending_tips_ledger,Speed up transaction if pending over 5 minutes.,
account,deposit_contract_tips_over_AMOUNT,"For fund additions exceeding AMOUNT USD, only the Advanced method of fund addition is supported.",
account,deposit_contract_tips_only_all,Only the Advanced method of fund addition is supported,
account,suggest_100,≥$100 suggested,
account,suggest_100_tips,Minimum order value for listing on the order book is $100.,
account,deposit_status_help,"<>
        <b>Pending</b> <br />
        Waiting for the transaction to be processed into a block.
        <br />
        <br />
        <b>Confirming</b>
        <br />
        The transaction has been processed into a block. Awaiting confirmations.
        <br />
        <br />
        <b>Success</b>
        <br />
        Funds has been credited, and is available for trading.
      </>
",
account,deposit_failed,Failed,
account,deposit_failed_tips,The on-chain transaction for adding funds has failed.,
account,payment_due,Payment Due,
account,payment_due_tips,Additional payment is required in order to credit the funds into your DeGate Balance.,
account,register_token_code_placeholder,Enter contract address,
account,register_token_code,Contract Address,
account,register_token_symbol,Symbol,
account,register_token_name,Name,
account,register_token_check,Check Listing Progress,
account,register_token_code_err_added,This token has been listed,
account,register_token_next_step,Next,
account,register_token_tips1,Permission not needed for on-chain token listing. Please go ahead to list your token right away.,
account,register_token_registed,This token has been listed,
account,register_token_btn,List Token,
account,list_token,List Token,
account,withdraw_warning_XXX,"Due to increased demand, sending funds currently takes ~ XXX.",
account,withdraw_status_pending,Processing,
account,tansferred_1_ETH,1 ETH Transferred,
account,transfer_status_sent,Sent,
account,transfer_status_received,Received,
account,transfer_status_help,"<>
        <b>Sent/Received</b> <br />
        Asset has arrived. Awaiting finality on the Ethereum network.
        <br />
        <br />
        <b>Finalized</b> <br />
        The block containing the transfer transaction has been finalized on the
        Ethereum network.
      </>
",
account,th_amount,Amount,
account,withdraw_status_help,"<>
        <b>Processing</b> <br />
        Processing withdrawal request.
        <br />
        <br />
        <b>Success</b> <br />
        The asset has been delivered to the recipient’s address.
        <br />
        <br />
        <b>Finalized</b>
        <br /> The block containing the withdrawal transaction has been
        finalized on the Ethereum network.
      </>
",
account,th_me,Me,
account,th_tx_hash,Transaction Hash,
account,th_status,Status,
account,th_time,Time,
account,th_tx_address,Address,
account,locked_order,Limit Order,
account,locked_withdraw,Sending,
account,locked_claimable,Claimable,
account,locked_grid,Grid Strategy,
account,personal_sign_tips,"<div>
        Metamask requests you to sign again with <i>Personal Sign</i> method
      </div>
",
account,personal_sign_reason,Possible Reasons,
account,personal_sign_reason1,1. Metamask is connected to hardware wallet,
account,personal_sign_reason2,2. Metamask version is outdated,
account,personal_sign_reason3,3. Others,
account,personal_sign_btn,Sign Again,
account,deposit_arrive_in_30s,Arrive in ~30 seconds,
account,deposit_arrive_in_30s_s,~ 30 seconds,
account,account_completed_time_XXX,Complete in  ~XXX,
account,withdraw_processing_tips,Sending,
account,search_result_no_token,Token cannot be found,
account,search_result_invalid_code,Invalid contract address,
account,search_result_not_listed,Token is currently not listed on DeGate,
account,search_result_tips_register,You can enter the contract address in order to complete token listing,
account,search_result_not_find,Still unable to find?,
account,search_pair_tips3,No trading pair for the asset,
account,search_pair_tips3_add,Please add pair,
account,register_token,Permissionless Token Listing,
account,search_again,Search Again,
account,deposit_type,Method,
account,deposit_type_standard,Standard,
account,deposit_type_advanced,Advanced,
account,switch_account_tips,Switched to,
account,switch_account_tips_register,Please initialize first.,
account,initialize_success,Initialization Successful,
account,tips_dex_balance,"<>
        DeGate Balance represents the total value of assets users hold within
        the DeGate smart contract.
        <br />
        <br />
        By adding funds to DeGate Balance, you can instantly place and cancel
        orders. You can also send these funds to any Ethereum address.
      </>
",
account,approve,Approve,
account,reset_USDT,Reset USDT Approval,
account,reset_USDT_tips,USDT requires resetting approval when spending limits are too low.,
account,init_step1_title,"en: (
      <>
        As a first-time user, initialization is required. This process should
        take approximately <b>30 seconds</b>.
      </>
    ),
",
account,next_step,Next,
account,profit_24h,24h Profit,
account,profit_total,Total Profit,
account,profit_history,Profit History,
account,tab_yield,Yield,
account,tab_grid_profit,Grid Profit,
account,tab_mining_rewards,Mining Rewards,
account,yield_total,Total Yield,
account,yield_24h,24h Yield,
account,claimable,Claimable,
account,claim,Claim,
account,yield_history,Yield History,
account,total_grid_profit,Total Grid Profit,
account,grid_profit_24h,24h Grid Profit,
account,grid_strategies,Grid Strategies,
account,total_rewards,Total Rewards,
account,rewards_24h,24h Rewards,
account,rewards,Rewards,
menu,menu_balance,Balance,
menu,menu_history,History,
menu,menu_security,Security,
menu,register_err,"Your address does not have any blockchain transaction record. Please complete an on-chain transaction and try again. For instance, perform a token transfer to your wallet.",
menu,reset_post_success_withOrders,Reset for Asset Key initiated. All of your open orders and grid strategies have been canceled.,
menu,reset_post_success,Reset for Asset Key initiated.,
menu,reset_processing_title,Asset Key reset in progress,
menu,reset_processing_desc,Please wait for completion,
trade,choose_token,Choose Token,
trade,token_info,Token Info,
trade,token_address,Token Address,
trade,price,Price,
trade,price_range_24h,24h Price Range,
trade,vol_24h,24h Volume,
trade,item_price_TOKEN,Price (TOKEN),
trade,item_amount_TOKEN,Amount (TOKEN),
trade,order_book_title,Order Book,
trade,order_book_depth_decimal,Decimal,
trade,order_book_total,Total,
trade,trade_history_title,Latest Trades,
trade,trade_history_time,Time,
trade,tab_buy,BUY,
trade,tab_sell,SELL,
trade,market_placeholder_price,Market Price,
trade,tab_limit_order,Limit,
trade,tab_market_order,Market,
trade,tab_stop_limit_order,Stop Limit,
trade,what_is_stop_limit,What's Stop Limit,
trade,what_is_stop_limit_link,What's Stop Limit >,
trade,type_limit_order,Limit,
trade,type_market_order,Market,
trade,type_stop_limit_order,Stop Limit,
trade,placeholder_price,Price,
trade,placeholder_stop_price,Stop Price,
trade,placeholder_limit_price,Limit Price,
trade,placeholder_amount,Amount,
trade,placeholder_total,Total,
trade,more_settings,Settings,
trade,expire_in_tips,The order will be automatically canceled after expiration.,
trade,period_day,Days,
trade,period_hour,Hours,
trade,period_minute,Minutes,
trade,max_peroid_XXX,Max XXX,
trade,period_err_input_tips,Please enter a valid number,
trade,peroid_D_day,Dd,
trade,peroid_D_day_H_hour,Dd Hh,
trade,peroid_H_hour_M_minute,Hh Mm,
trade,peroid_M_minute,Mm,
trade,post_only_label,Maker-Only,
trade,post_only_tips,"The Maker-Only mode ensures that only Maker orders enter the order book. If any part of the order can be filled as a taker order, then entire order will be returned. Orders in the Maker-Only mode do not incur any gas fee or trading fee.",
trade,post_only_fail_title,Unable to Create Order,
trade,post_only_fail_desc,"Please adjust the price or disable Maker-Only"" mode.""",
trade,max_gas_fee_tips,"Max Gas Fee covers on-chain costs for trade settlements, paid by Takers and free for Makers. Excess fees are refunded.",
trade,auto,Auto,
trade,custom,Custom,
trade,enough_for_XX_trades,Enough for XX trades,
trade,gas_fee_per_trade,Gas fee per trade,
trade,gas_fee_per_trade_tips,"Takers incur gas fees per trade to facilitate on-chain settlement, with costs fluctuating based on the Ethereum network's conditions.",
trade,max_number_of_trades,Max number of trades,
trade,max_number_of_trades_tips,"<>
        An order can be filled with multiple trades; for example, a $100 order
        could be filled with trades of $30 and $70.
        <br />
        {`The ""max number of trades"" limits the number of times an order can be
        filled when trading as a Taker.`}
      </>
",
trade,period_expired,Expired,
trade,max_gas_fee,Max Gas Fee,
trade,btn_buy_ETH,Buy ETH,
trade,btn_sell_ETH,Sell ETH,
trade,max_buy_fee_deducted_NUM,Gas fee deducted. Max is NUM.,
trade,notification_limit_order_title,Limit Order Placed,
trade,notification_stop_limit_order_title,Stop Limit Order Placed,
trade,err_price,Please enter price,
trade,err_amount_total,Please enter amount or total,
trade,err_amount,Please enter an amount,
trade,err_insufficientFee_title,Insufficient Gas Fee,
trade,err_insufficientFee_desc,Please check your Max Gas Fee setting and your DeGate Balance.,
trade,cancel_order_success,Order Canceled,
trade,pair_favorite,Favorite,
trade,pair_all,All,
trade,pair_search,"Search token, contract address",
trade,pair_market,Pair,
trade,pair_last_price,Price,
trade,pair_change,Change,
trade,url_parse_err_title,This pair does not exist.,
trade,XXX_pairs_is_registered,XXX has been registered,
trade,register_pair_modal_btn_trade,Go to Trade,
trade,register_pair_modal_tips,Users can instantly add new trading pairs on DeGate Exchange without needing approval from any party.,
trade,register_pair_success,Trading pair is added successfully,
trade,register_pair_success2,And added to your favorite list,
trade,risk_tips,Risk Warning,
trade,base_is_not_default_token_tips,Verify the token contract address through official sources to avoid scams before trading.,
trade,chain_cancel,Cancel Order On-Chain,
trade,chain_cancel_no_need_tips,This order does not need on-chain cancellation.,
trade,chain_cancel_success,Request sent,
trade,depth_empty,No orders yet,
trade,depth_empty_asks,No sell orders,
trade,depth_empty_bids,No buy orders,
trade,depth_empty_tips,Market order failed due to insufficient open orders in order book,
trade,history_empty,No trades yet,
trade,err_price_stable,Price has been invalid. Please try again.,
trade,price_warning,"The price you entered has deviated from market price, please confirm before placing the order",
trade,order_value_tips,"Minimum order value is <b>QUOTE_A</b> or <b>BASE_A</b>, which is equivalent to MINUSD USD. Use market order to bypass this restriction.",
trade,order_value_tips_quote,"Minimum order value is <b>QUOTE_A</b>, which is equivalent to MINUSD USD. Use market order to bypass this restriction.",
